Email No.,Category,Message
Email 1,0,go jurong point crazi avail bugi n great world la e buffet cine got amor wat
Email 2,0,ok lar joke wif u oni
Email 3,1,free entri wkli comp win fa cup final tkts may text fa receiv entri questionstd txt ratetc appli
Email 4,0,u dun say earli hor u c alreadi say
Email 5,0,nah dont think goe usf live around though
Email 6,1,freemsg hey darl week word back id like fun still tb ok xxx std chgs send rcv
Email 7,0,even brother like speak treat like aid patent
Email 8,0,per request mell mell oru minnaminungint nurungu vettam set callertun caller press copi friend callertun
Email 9,1,winner valu network custom select receivea prize reward claim call claim code valid hour
Email 10,1,mobil month u r entitl updat latest colour mobil camera free call mobil updat co free
Email 11,0,im gon na home soon dont want talk stuff anymor tonight k ive cri enough today
Email 12,1,six chanc win cash pound txt send cost tsandc appli repli hl info
Email 13,1,urgent week free membership prize jackpot txt word claim tc lccltd pobox
Email 14,0,ive search right word thank breather promis wont take help grant fulfil promis wonder bless time
Email 15,0,date sunday
Email 16,1,xxxmobilemovieclub use credit click wap link next txt messag click xxxmobilemovieclubcomnqjkgighjjgcbl
Email 17,0,oh kim watch
Email 18,0,eh u rememb spell name yes v naughti make v wet
Email 19,0,fine that way u feel that way gota b
Email 20,1,england v macedonia dont miss goalsteam news txt ur nation team eg england trywal scotland
Email 21,0,serious spell name
Email 22,0,im go tri month ha ha joke
Email 23,0,pay first lar da stock comin
Email 24,0,aft finish lunch go str lor ard smth lor u finish ur lunch alreadi
Email 25,0,ffffffffff alright way meet sooner
Email 26,0,forc eat slice im realli hungri tho suck mark get worri know im sick turn pizza lol
Email 27,0,lol alway convinc
Email 28,0,catch bus fri egg make tea eat mom left dinner feel love
Email 29,0,im back amp pack car ill let know there room
Email 30,0,ahhh work vagu rememb feel like lol
Email 31,0,wait that still clear sure sarcast that x doesnt want live us
Email 32,0,yeah got v apologet n fallen actin like spoilt child got caught till wont go bad cheer
Email 33,0,k tell anyth
Email 34,0,fear faint housework quick cuppa
Email 35,1,thank subscript rington uk mobil charg pleas confirm repli yes repli charg
Email 36,0,yup ok go home look time msg xuhui go learn may lesson
Email 37,0,oop ill let know roommat done
Email 38,0,see letter b car
Email 39,0,anyth lor u decid
Email 40,0,hello how saturday go text see youd decid anyth tomo im tri invit anyth
Email 41,0,pls go ahead watt want sure great weekend abiola
Email 42,0,forget tell want need crave love sweet arabian steed mmmmmm yummi
Email 43,1,rodger burn msg tri call repli sms free nokia mobil free camcord pleas call deliveri tomorrow
Email 44,0,see
Email 45,0,great hope like man well endow ltgt inch
Email 46,0,callsmessagesmiss call
Email 47,0,didnt get hep b immunis nigeria
Email 48,0,fair enough anyth go
Email 49,0,yeah hope tyler cant could mayb ask around bit
Email 50,0,u dont know stubborn didnt even want go hospit kept tell mark im weak sucker hospit weak sucker
Email 51,0,think first time saw class
Email 52,0,gram usual run like ltgt half eighth smarter though get almost whole second gram ltgt
Email 53,0,k fyi x ride earli tomorrow morn hes crash place tonight
Email 54,0,wow never realiz embarass accomod thought like sinc best could alway seem happi cave im sorri didnt dont give im sorri offer im sorri room embarass
Email 55,1,sms ac sptv new jersey devil detroit red wing play ice hockey correct incorrect end repli end sptv
Email 56,0,know mallika sherawat yesterday find lturlgt
Email 57,1,congrat year special cinema pass call c suprman v etc free dont miss
Email 58,0,sorri ill call later meet
Email 59,0,tell reach
Email 60,0,yesgauti sehwag odi seri
Email 61,0,gon na pick burger way home cant even move pain kill
Email 62,0,ha ha ha good joke girl situat seeker
Email 63,0,part check iq
Email 64,0,sorri roommat took forev ok come
Email 65,0,ok lar doubl check wif da hair dresser alreadi said wun cut v short said cut look nice
Email 66,1,valu custom pleas advis follow recent review mob award bonus prize call
Email 67,0,today song dedic day song u dedic send ur valuabl frnds first rpli
Email 68,1,urgent ur award complimentari trip eurodisinc trav claim txt dis
Email 69,1,hear new divorc barbi come ken stuff
Email 70,0,plane give month end
Email 71,0,wah lucki man save money hee
Email 72,0,finish class
Email 73,0,hi babe im home wan na someth xx
Email 74,0,kkwhere youhow perform
Email 75,0,u call
Email 76,0,wait machan call free
Email 77,0,that cool gentleman treat digniti respect
Email 78,0,like peopl much shi pa
Email 79,0,oper ltgt
Email 80,0,still look job much tas earn
Email 81,0,sorri ill call later
Email 82,0,k call ah
Email 83,0,ok way home hi hi
Email 84,0,place man
Email 85,0,yup next stop
Email 86,0,call later dont network urgnt sms
Email 87,0,real u get yo need ticket one jacket im done alreadi use multi
Email 88,0,yes start send request make pain came back im back bed doubl coin factori got ta cash nitro
Email 89,0,im realli still tonight babe
Email 90,0,ela kanoil download come wen ur free
Email 91,0,yeah dont stand close tho youll catch someth
Email 92,0,sorri pain ok meet anoth night spent late afternoon casualti mean havent done includ time sheet sorri
